lat.name,ccg.name
Essex,Thurrock 
Essex,West Essex 
,
Hertfordshire and the South Midlands,Bedfordshire 
Hertfordshire and the South Midlands,Corby 
Hertfordshire and the South Midlands,East and North Hertfordshire 
Hertfordshire and the South Midlands,Herts Valleys 
Hertfordshire and the South Midlands,Luton 
Hertfordshire and the South Midlands,Milton Keynes 
Hertfordshire and the South Midlands,Nene 
,
Leicestershire and Lincolnshire,East Leicestershire and Rutland 
Leicestershire and Lincolnshire,Leicester City 
Leicestershire and Lincolnshire,Lincolnshire East 
Leicestershire and Lincolnshire,Lincolnshire West 
Leicestershire and Lincolnshire,South Lincolnshire 
Leicestershire and Lincolnshire,South West Lincolnshire 
Leicestershire and Lincolnshire,West Leicestershire 
,
Shropshire and Staffordshire,Cannock Chase 
Shropshire and Staffordshire,East Staffordshire 
Shropshire and Staffordshire,North Staffordshire 
Shropshire and Staffordshire,Shropshire 
Shropshire and Staffordshire,South East Staffs and Seisdon and Peninsular 
Shropshire and Staffordshire,Stafford and Surrounds 
Shropshire and Staffordshire,Stoke on Trent 
Shropshire and Staffordshire,Telford & Wrekin 
,
London,Barking and Dagenham 
London,Barnet 
London,Camden 
London,City and Hackney 
London,Enfield 
London,Haringey 
London,Havering 
London,Islington 
London,Newham 
London,Redbridge 
London,Tower Hamlets 
London,Waltham Forest 
London,Brent 
London,Central London (Westminster) 
London,Ealing 
London,Hammersmith and Fulham 
London,Harrow 
London,Hillingdon 
London,Hounslow 
London,West London 
London,Bexley 
London,Bromley 
London,Croydon 
London,Greenwich 
London,Kingston 
London,Lambeth 
London,Lewisham 
London,Merton 
London,Richmond 
London,Southwark 
London,Sutton 
London,Wandsworth 
,
"Bath, Gloucester, Swindon and Wiltshire",Bath and North East Somerset 
"Bath, Gloucester, Swindon and Wiltshire",Gloucestershire 
"Bath, Gloucester, Swindon and Wiltshire",Swindon 
"Bath, Gloucester, Swindon and Wiltshire",Wiltshire 
,
BNSSSG,Bristol 
BNSSSG,North Somerset 
BNSSSG,Somerset 
BNSSSG,South Gloucestershire 
,
"Devon, Cornwall and the Isles of Scilly",Kernow 
"Devon, Cornwall and the Isles of Scilly","North, East, West Devon "
"Devon, Cornwall and the Isles of Scilly",South Devon and Torbay 
,
Kent and Medway,Ashford 
Kent and Medway,Canterbury and Coastal 
Kent and Medway,"Dartford, Gravesham and Swanley "
Kent and Medway,Medway 
Kent and Medway,South Kent Coast 
Kent and Medway,Swale 
Kent and Medway,Thanet 
Kent and Medway,West Kent 
,
Surrey and Sussex,Brighton & Hove 
Surrey and Sussex,Coastal West Sussex 
Surrey and Sussex,Crawley 
Surrey and Sussex,East Surrey 
Surrey and Sussex,"Eastbourne, Hailsham and Seaford "
Surrey and Sussex,Guildford and Waverley 
Surrey and Sussex,Hastings and Rother 
Surrey and Sussex,High Weald Lewes Havens 
Surrey and Sussex,Horsham and Mid Sussex 
Surrey and Sussex,North West Surrey 
Surrey and Sussex,Surrey Downs 
Surrey and Sussex,Surrey Heath 
,
Thames Valley,Aylesbury Vale 
Thames Valley,Bracknell and Ascot 
Thames Valley,Chiltern 
Thames Valley,Newbury and District 
Thames Valley,North & West Reading 
Thames Valley,Oxfordshire 
Thames Valley,Slough 
Thames Valley,South Reading 
Thames Valley,"Windsor, Ascot and Maidenhead "
Thames Valley,Wokingham 
,
Wessex,Dorset 
Wessex,Fareham and Gosport 
Wessex,Isle of Wight 
Wessex,North East Hampshire and Farnham 
Wessex,North Hampshire 
Wessex,Portsmouth 
Wessex,South Eastern Hampshire 
Wessex,Southampton 
Wessex,West Hampshire 
